id,body,author
1,چالش ها برای سرگرم کننده کردن زندگی هستند و غلبه بر آن باعث معنا دار شدن زندگی.,جاشوه جی مارین
2,راه حل صحیح موفقیت این است که اشتیاق شما به پیروزی بیشتر از ترس شما از شکست باشد.,آلبرت انیشتین
3,"هیچوقت از داشتن عقاید متفاوت با توافق جمع نترسید،حتی وقتی که تنها فرد موجود با همچین اعتقادی باشید.",رابین شارما
4,من فکر می کنم این بهترین نصیحت است: مدام به این فکر کن که چطور می توانی کارها را بهتر انجام دهی و خودت را زیر سؤال ببری.,ایلان ماسک
5,به تمام دلایلی که موفق نمی شوید فکر نکنید… فقط به 1 دلیلی فکر کنید که میدانید موفق می شوید.,هنر فورد
6,مدیریت خوب شامل این می شود که به آدم های متوسط نشان دهی چگونه کار آدم های بهتر را انجام دهند.,جان دی. راکفلر
7,"هوش یعنی اینکه بتوانی از انجام کار پرهیز کنی، و با این حال کار را به انجام برسانی.",لینوس توروالدز
8,تنها شکافی که بین شما و رویایتان قرار دارد با کمی اراده به عمل و کمی اعتقاد راسخ پر میشود.,جویل براون
9,"شاد بودن به این معنا نیست که همه چیز خوب است، شاد بودن به این معناست که شما تصمیم گرفتید فراتر از هرآنچه کامل نیست را ببینید.",ری کراک مک دونالد
10,زندگی دارای 2 قانون است. یک: هیچ وقت کم نیار و دو: هیچوقت قانون شماره یک رو فراموش نکن.,وارن بافت
11,"قدرت از برنده شدن نمی‌آید، چالش‌ها هستند که شما را قدرتمند می‌کنند.",آرنولد شوارتزنگر
12,بیشتر آدم ها زمان و انرژی بیشتری را صرف مشکلات می کنند تا اینکه سعی کنند آن ها را حل کنند.,هنری فورد
13,"هرگز به خاطر محدودیت نگو هرگز، محدودیت‌هایی مانند ترس‌ها که اغلب اوقات تنها توهم هستند.",مایکل جردن
14,"هر چه رسیدن به پیروزی سخت‌تر باشد، شادی بیشتری در برنده شدن وجود دارد.",پله
15,"دلیل از پا افتادن شما سختی این کوهی نیست که از آن بالا می‌روید، دلیلش سنگریزه‌های داخل کفش‌تان است (تفکرات منفی در ذهن‌تان)",محمد علی کلی 
16,"آنچه بین یک رهبر و یک پیرو تمایز ایجاد می‌کند، «خلاقیت و ابتکار» است.",استیو جابز
17,"اگر نمی‌توانید اثری خوب و زیبا خلق کنید، حداقل آن را با ظاهری زیبا و خوب خلق کنید.",بیل گیتس
18,من فکر می کنم این بهترین نصیحت است: مدام به این فکر کن که چطور می توانی کارها را بهتر انجام دهی و خودت را زیر سؤال ببری.,ایلان ماسک
19,در بسیاری از مواقع افراد نمی‌دانند چه می‌خواهند تا آنکه کسی آنچه را می‌خواهند ‌به ایشان نشان دهد.,استیو جابز
20,ناراضی ترین مشتریان شما برترین و بهترین منابع برای فراگیری و پیشرفت شما هستند.,بیل گیتس
21,اگر می‌خواهید بهترین باشید باید مایل باشید که کارهایی را انجام دهید که مردم از آن‌ها فرار می‌کنند.,مایکل فیلپس 
22,طراحی تنها ظاهر و صورت یک چیز نیست. طراحی همچنین نحوه کار را نیز شامل می‌شود,استیو جابز
23,"رویای خودتون رو بسازید، وگرنه کسی شما را استخدام میکند تا رویای او را بسازید.",فرح گری
24,"برای شکست هایتان زیاد ناراحت نشوید، برای فرصت هایی که بدون امتحان کردنشان از دست میدادید ناراحت باشید.",جک کنفیلد
25,.زمان شما محدود است. لذا آن را برای زندگی کردن در جهان شخصی دیگر هدر ندهید,استیو جابز
26,"وقتی چیزی به اندازه کافی مهم باشد، آن را انجام می دهید حتی اگر شانس برد زیادی نداشته باشید.",ایلان ماسک
27,موفقیت یک معلم پست و بدجنس است که افراد باهوش را به این ذهنیت می اندازد که آنها هیچ گاه شکست نخواهند خورد.,بیل گیتس
28,"بیشتر از پولی که بهت داده می شود کار کن، و در نهایت بیشتر از کاری که می کنی بهت پول داده خواهد شد.",زیگ زیگلار
29,رهبری و یادگیری به یکدیگر وابسته هستند.,جان اف. کندی
30,ایده ها آسان هستند؛ اجرای آنها دشوار است.,گای کاوازاکی
31,یگانه فردی که سرنوشت از شما خواهد ساخت همانی است که خودتان تصمیم می‌گیرید باشید.,رالف والدو امرسون
